
  Status      Error       Time    Gflop/s   House.mode       m       n    nb    ib  padA
      --         --     0.3141   271.8079            f    4000    4000   376    94     0
      --         --     0.3133   272.4562            f    4000    4000   376    94     0
      --         --     0.3171   269.1838            f    4000    4000   376    94     0

      --         --     0.5279   315.8373            f    5000    5000    96    24     0
      --         --     0.5270   316.3219            f    5000    5000    96    24     0
      --         --     0.5276   315.9717            f    5000    5000    96    24     0

      --         --     0.5576   299.0034            f    5000    5000   104    26     0
      --         --     0.5557   299.9948            f    5000    5000   104    26     0
      --         --     0.5554   300.1912            f    5000    5000   104    26     0

      --         --     0.5125   325.3296            f    5000    5000   112    28     0
      --         --     0.5119   325.7118            f    5000    5000   112    28     0
      --         --     0.5116   325.8900            f    5000    5000   112    28     0

      --         --     0.5198   320.7499            f    5000    5000   120    30     0
      --         --     0.5206   320.2364            f    5000    5000   120    30     0
      --         --     0.5201   320.5301            f    5000    5000   120    30     0

      --         --     0.4830   345.1865            f    5000    5000   128    32     0
      --         --     0.4825   345.5565            f    5000    5000   128    32     0
      --         --     0.4833   344.9714            f    5000    5000   128    32     0

      --         --     0.4911   339.4712            f    5000    5000   136    34     0
      --         --     0.4904   339.9625            f    5000    5000   136    34     0
      --         --     0.4892   340.7739            f    5000    5000   136    34     0

      --         --     0.4471   372.8659            f    5000    5000   144    36     0
      --         --     0.4472   372.8012            f    5000    5000   144    36     0
      --         --     0.4644   358.9981            f    5000    5000   144    36     0

      --         --     0.4712   353.8171            f    5000    5000   152    38     0
      --         --     0.4780   348.7597            f    5000    5000   152    38     0
      --         --     0.4736   352.0079            f    5000    5000   152    38     0

      --         --     0.4447   374.8898            f    5000    5000   160    40     0
      --         --     0.4926   338.4446            f    5000    5000   160    40     0
      --         --     0.4717   353.4561            f    5000    5000   160    40     0

      --         --     0.4602   362.2945            f    5000    5000   168    42     0
      --         --     0.4558   365.7941            f    5000    5000   168    42     0
      --         --     0.4560   365.6241            f    5000    5000   168    42     0

      --         --     0.4394   379.4346            f    5000    5000   176    44     0
      --         --     0.4334   384.6858            f    5000    5000   176    44     0
      --         --     0.4326   385.3981            f    5000    5000   176    44     0

      --         --     0.4494   371.0062            f    5000    5000   184    46     0
      --         --     0.4502   370.3534            f    5000    5000   184    46     0
      --         --     0.4473   372.6900            f    5000    5000   184    46     0

      --         --     0.4410   378.0828            f    5000    5000   192    48     0
      --         --     0.4302   387.5027            f    5000    5000   192    48     0
      --         --     0.4289   388.7207            f    5000    5000   192    48     0

