
  Status      Error       Time    Gflop/s       m       n    nb    ib  padA  mtpf  zerocol
      --         --     0.0686   262.3423    3000    3000   128    16     0     8       -1

      --         --     0.0672   267.6021    3000    3000   136    16     0     8       -1
      --         --     0.0653   275.7389    3000    3000   136    16     0     8       -1
      --         --     0.0693   259.8276    3000    3000   136    16     0     8       -1

      --         --     0.0671   268.3376    3000    3000   144    16     0     8       -1
      --         --     0.0647   278.2144    3000    3000   144    16     0     8       -1
      --         --     0.0646   278.7084    3000    3000   144    16     0     8       -1

      --         --     0.0682   263.9507    3000    3000   152    16     0     8       -1
      --         --     0.0692   260.0859    3000    3000   152    16     0     8       -1
      --         --     0.0670   268.4663    3000    3000   152    16     0     8       -1

      --         --     0.0715   251.8090    3000    3000   160    16     0     8       -1
      --         --     0.0705   255.2284    3000    3000   160    16     0     8       -1
      --         --     0.0693   259.7464    3000    3000   160    16     0     8       -1

      --         --     0.0682   263.9852    3000    3000   168    16     0     8       -1
      --         --     0.0690   260.6660    3000    3000   168    16     0     8       -1
      --         --     0.0695   258.8893    3000    3000   168    16     0     8       -1

      --         --     0.0714   252.1285    3000    3000   176    16     0     8       -1
      --         --     0.0726   247.7282    3000    3000   176    16     0     8       -1
      --         --     0.0712   252.6861    3000    3000   176    16     0     8       -1

      --         --     0.0683   263.6366    3000    3000   184    16     0     8       -1
      --         --     0.0687   262.1133    3000    3000   184    16     0     8       -1
      --         --     0.0669   268.8985    3000    3000   184    16     0     8       -1

      --         --     0.0716   251.4716    3000    3000   192    16     0     8       -1
      --         --     0.0723   248.9059    3000    3000   192    16     0     8       -1
      --         --     0.0706   254.8015    3000    3000   192    16     0     8       -1

      --         --     0.0695   258.7895    3000    3000   200    16     0     8       -1
      --         --     0.0709   253.7246    3000    3000   200    16     0     8       -1
      --         --     0.0679   264.9214    3000    3000   200    16     0     8       -1

      --         --     0.0715   251.7916    3000    3000   208    16     0     8       -1
      --         --     0.0687   261.9255    3000    3000   208    16     0     8       -1
      --         --     0.0696   258.6531    3000    3000   208    16     0     8       -1

      --         --     0.0716   251.3182    3000    3000   216    16     0     8       -1
      --         --     0.0733   245.4044    3000    3000   216    16     0     8       -1
      --         --     0.0726   247.8800    3000    3000   216    16     0     8       -1

      --         --     0.0725   248.2281    3000    3000   224    16     0     8       -1
      --         --     0.0864   208.3393    3000    3000   224    16     0     8       -1
      --         --     0.0761   236.3390    3000    3000   224    16     0     8       -1

      --         --     0.0995   180.8534    3000    3000   232    16     0     8       -1
      --         --     0.1014   177.4308    3000    3000   232    16     0     8       -1
      --         --     0.1074   167.5203    3000    3000   232    16     0     8       -1

      --         --     0.0962   186.9902    3000    3000   240    16     0     8       -1
      --         --     0.1017   176.9040    3000    3000   240    16     0     8       -1
      --         --     0.0979   183.8481    3000    3000   240    16     0     8       -1

      --         --     0.1030   174.7184    3000    3000   248    16     0     8       -1
      --         --     0.1064   169.1162    3000    3000   248    16     0     8       -1
      --         --     0.1000   180.0442    3000    3000   248    16     0     8       -1

      --         --     0.1049   171.5733    3000    3000   256    16     0     8       -1
      --         --     0.1003   179.4916    3000    3000   256    16     0     8       -1
      --         --     0.1083   166.2040    3000    3000   256    16     0     8       -1

      --         --     0.0977   184.2814    3000    3000   264    16     0     8       -1
      --         --     0.0956   188.1431    3000    3000   264    16     0     8       -1
      --         --     0.0972   185.1883    3000    3000   264    16     0     8       -1

      --         --     0.1071   168.0129    3000    3000   272    16     0     8       -1
      --         --     0.1019   176.5480    3000    3000   272    16     0     8       -1
      --         --     0.1035   173.9024    3000    3000   272    16     0     8       -1

      --         --     0.1037   173.5641    3000    3000   280    16     0     8       -1
      --         --     0.1088   165.3495    3000    3000   280    16     0     8       -1
      --         --     0.1000   179.9891    3000    3000   280    16     0     8       -1

      --         --     0.0987   182.3052    3000    3000   288    16     0     8       -1
      --         --     0.0796   226.1506    3000    3000   288    16     0     8       -1
      --         --     0.0741   242.9878    3000    3000   288    16     0     8       -1

      --         --     0.0783   229.8267    3000    3000   296    16     0     8       -1
      --         --     0.0792   227.1331    3000    3000   296    16     0     8       -1
      --         --     0.0796   225.9926    3000    3000   296    16     0     8       -1

      --         --     0.0738   243.7971    3000    3000   304    16     0     8       -1
      --         --     0.0780   230.5693    3000    3000   304    16     0     8       -1
      --         --     0.0761   236.6083    3000    3000   304    16     0     8       -1

      --         --     0.0788   228.4627    3000    3000   312    16     0     8       -1
      --         --     0.0776   231.7953    3000    3000   312    16     0     8       -1
      --         --     0.0801   224.5283    3000    3000   312    16     0     8       -1

      --         --     0.0803   224.1955    3000    3000   320    16     0     8       -1
      --         --     0.0769   233.8898    3000    3000   320    16     0     8       -1
