
  Status      Error       Time    Gflop/s    uplo       n    nb  padA  zerocol
      --         --     0.0147   614.5972       l    3000   192     0       -1
      --         --     0.0152   593.3359       l    3000   192     0       -1

      --         --     0.0138   650.4256       l    3000   200     0       -1
      --         --     0.0137   655.6308       l    3000   200     0       -1
      --         --     0.0141   638.4733       l    3000   200     0       -1

      --         --     0.0139   649.5307       l    3000   208     0       -1
      --         --     0.0139   649.8660       l    3000   208     0       -1
      --         --     0.0142   636.1290       l    3000   208     0       -1

      --         --     0.0138   652.5496       l    3000   216     0       -1
      --         --     0.0137   657.0223       l    3000   216     0       -1
      --         --     0.0140   641.9897       l    3000   216     0       -1

      --         --     0.0145   621.5970       l    3000   224     0       -1
      --         --     0.0145   619.4662       l    3000   224     0       -1
      --         --     0.0153   588.9135       l    3000   224     0       -1

      --         --     0.0152   590.8852       l    3000   232     0       -1
      --         --     0.0147   614.2174       l    3000   232     0       -1
      --         --     0.0146   617.7235       l    3000   232     0       -1

      --         --     0.0149   605.9105       l    3000   240     0       -1
      --         --     0.0145   619.6796       l    3000   240     0       -1
      --         --     0.0142   634.7498       l    3000   240     0       -1

      --         --     0.0151   596.2868       l    3000   248     0       -1
      --         --     0.0155   581.3085       l    3000   248     0       -1
      --         --     0.0154   585.5081       l    3000   248     0       -1

      --         --     0.0156   577.0276       l    3000   256     0       -1
      --         --     0.0151   595.6943       l    3000   256     0       -1
      --         --     0.0157   573.8974       l    3000   256     0       -1

      --         --     0.0155   581.4964       l    3000   264     0       -1
      --         --     0.0153   590.2204       l    3000   264     0       -1
      --         --     0.0155   580.4508       l    3000   264     0       -1

      --         --     0.0163   552.0854       l    3000   272     0       -1
      --         --     0.0158   571.2412       l    3000   272     0       -1
      --         --     0.0160   562.7801       l    3000   272     0       -1

      --         --     0.0154   586.5720       l    3000   280     0       -1
      --         --     0.0164   547.9205       l    3000   280     0       -1
      --         --     0.0156   575.8399       l    3000   280     0       -1

      --         --     0.0162   554.1917       l    3000   288     0       -1
      --         --     0.0157   572.0112       l    3000   288     0       -1
      --         --     0.0171   527.8123       l    3000   288     0       -1

      --         --     0.0170   530.9212       l    3000   296     0       -1
      --         --     0.0169   532.1181       l    3000   296     0       -1
      --         --     0.0173   521.0979       l    3000   296     0       -1

      --         --     0.0166   542.0851       l    3000   304     0       -1
      --         --     0.0168   534.6188       l    3000   304     0       -1
      --         --     0.0178   504.9079       l    3000   304     0       -1

      --         --     0.0161   558.9736       l    3000   312     0       -1
      --         --     0.0164   548.6847       l    3000   312     0       -1
      --         --     0.0161   560.4668       l    3000   312     0       -1

      --         --     0.0165   545.0029       l    3000   320     0       -1
      --         --     0.0186   483.2275       l    3000   320     0       -1
      --         --     0.0177   509.7394       l    3000   320     0       -1

      --         --     0.0174   516.5155       l    3000   328     0       -1
      --         --     0.0170   529.9602       l    3000   328     0       -1
      --         --     0.0187   482.5854       l    3000   328     0       -1

