
  Status      Error       Time    Gflop/s       m       n    nb    ib  padA  mtpf  zerocol
      --         --     0.0875   205.7734    3000    3000   144    16     0     8       -1
      --         --     0.0888   202.5828    3000    3000   144    16     0     8       -1
      --         --     0.0873   206.1815    3000    3000   144    16     0     8       -1

      --         --     0.0885   203.3861    3000    3000   152    16     0     8       -1
      --         --     0.0880   204.5058    3000    3000   152    16     0     8       -1
      --         --     0.0879   204.6232    3000    3000   152    16     0     8       -1

      --         --     0.0894   201.3131    3000    3000   160    16     0     8       -1
      --         --     0.0904   199.0107    3000    3000   160    16     0     8       -1
      --         --     0.0890   202.2727    3000    3000   160    16     0     8       -1

      --         --     0.0901   199.7288    3000    3000   168    16     0     8       -1
      --         --     0.0905   198.8074    3000    3000   168    16     0     8       -1
      --         --     0.0900   199.9925    3000    3000   168    16     0     8       -1

      --         --     0.0922   195.2590    3000    3000   176    16     0     8       -1
      --         --     0.0934   192.7689    3000    3000   176    16     0     8       -1
      --         --     0.0937   192.0170    3000    3000   176    16     0     8       -1

      --         --     0.0916   196.5521    3000    3000   184    16     0     8       -1
      --         --     0.0929   193.6423    3000    3000   184    16     0     8       -1
      --         --     0.0932   193.0315    3000    3000   184    16     0     8       -1

      --         --     0.0934   192.7044    3000    3000   192    16     0     8       -1
      --         --     0.0941   191.3269    3000    3000   192    16     0     8       -1
      --         --     0.0926   194.4151    3000    3000   192    16     0     8       -1

      --         --     0.0932   193.1200    3000    3000   200    16     0     8       -1
      --         --     0.0925   194.5859    3000    3000   200    16     0     8       -1
      --         --     0.0905   198.8074    3000    3000   200    16     0     8       -1

      --         --     0.0957   187.9673    3000    3000   208    16     0     8       -1
      --         --     0.0933   192.8066    3000    3000   208    16     0     8       -1
      --         --     0.0951   189.2885    3000    3000   208    16     0     8       -1

      --         --     0.0931   193.3085    3000    3000   216    16     0     8       -1
      --         --     0.0945   190.4944    3000    3000   216    16     0     8       -1
      --         --     0.0949   189.6270    3000    3000   216    16     0     8       -1

      --         --     0.0980   183.6646    3000    3000   224    16     0     8       -1
      --         --     0.0970   185.4686    3000    3000   224    16     0     8       -1
      --         --     0.0959   187.6476    3000    3000   224    16     0     8       -1

      --         --     0.0962   186.9823    3000    3000   232    16     0     8       -1
      --         --     0.0938   191.8047    3000    3000   232    16     0     8       -1
      --         --     0.0945   190.5039    3000    3000   232    16     0     8       -1

      --         --     0.0977   184.1528    3000    3000   240    16     0     8       -1
      --         --     0.0982   183.2219    3000    3000   240    16     0     8       -1
      --         --     0.0995   180.9347    3000    3000   240    16     0     8       -1

      --         --     0.1007   178.7121    3000    3000   248    16     0     8       -1
      --         --     0.1008   178.5401    3000    3000   248    16     0     8       -1
      --         --     0.1046   172.0701    3000    3000   248    16     0     8       -1

      --         --     0.1092   164.7513    3000    3000   256    16     0     8       -1
      --         --     0.1194   150.7254    3000    3000   256    16     0     8       -1
      --         --     0.1064   169.1771    3000    3000   256    16     0     8       -1

